Source.Name,timeStarted,leftEyeOccluderTransparency,rightEyeOccluderTransparency,occluderTransparency,preferredDichoptic
25-04-01_14-07 .json,25-04-01_14-07 ,0.319111824,0.772207201,0.599145949,TRUE
25-04-02_13-17 .json,25-04-02_13-17 ,0.441170543,0.535654783,0.502508104,TRUE
25-04-02_13-53 .json,25-04-02_13-53 ,0.854135275,0.491430163,0.906839252,TRUE
25-04-02_14-05 .json,25-04-02_14-05 ,0.233674571,0.673743665,0.486246884,TRUE
25-04-02_14-16 .json,25-04-02_14-16 ,0.212577879,0.733132482,0.466765851,TRUE
25-04-03_15-16 .json,25-04-03_15-16 ,0.500087261,0.475793809,0.52427876,FALSE
25-04-04_16-25 .json,25-04-04_16-25 ,0.560714245,0.55086422,0.57501322,TRUE
25-04-07_13-40 .json,25-04-07_13-40 ,0.988020539,0.122647278,0.633554161,TRUE
25-04-07_14-19 .json,25-04-07_14-19 ,0.295134544,0.562345505,0.420395315,FALSE
25-04-07_14-35 .json,25-04-07_14-35 ,0.148268744,0.671230137,0.352786899,TRUE
25-04-08_14-51 .json,25-04-08_14-51 ,0.500491917,0.50252676,0.509708881,FALSE
